eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
3c22c0f9-2c01-4978-bdbe-12a753ede8f2,1,False,"[(85, 108), (103, 92), (94, 105)]",265,299,74,81,265,88,187,193,85,195,103,193,85,193,85,195,103,193,85,199,94,193,85,193,85,199,94,193,85,193.0,85.0,193.0,85.0,193.87189999999998,92.8474,193.0,85.0,1.0641711229946524,1.032085561497326
3c22c0f9-2c01-4978-bdbe-12a753ede8f2,1,False,"[(108, 85), (92, 103), (105, 94)]",299,265,81,74,299,99,187,193,108,195,92,193,108,193,108,195,92,193,108,199,105,193,108,193,108,199,105,193,108,193.0,108.0,193.0,108.0,193.87189999999998,101.02449999999999,193.0,108.0,1.0641711229946524,1.032085561497326
dd54b92e-c340-4c8f-a429-b1098aca1a3d,1,True,"[(85, 96)]",287,309,74,69,287,85,181,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181.0,85.0,181.0,85.0,181.0,85.0,181.0,85.0,1.0,1.0
dd54b92e-c340-4c8f-a429-b1098aca1a3d,1,True,"[(96, 85)]",309,287,69,74,309,96,181,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181.0,96.0,181.0,96.0,181.0,96.0,181.0,96.0,1.0,1.0
fe94903c-1623-46e7-a722-2b478bfccdbf,0,False,"[(77, 54), (60, 71)]",255,221,48,41,255,68,125,131,77,131,60,131,77,131,77,131,60,131,77,131,77,131,77,131,77,131,60,131,77,131.0,60.0,131.0,77.0,131.0,69.1575,131.0,76.9846,1.048,1.048
fe94903c-1623-46e7-a722-2b478bfccdbf,0,False,"[(54, 77), (71, 60)]",221,255,41,48,221,57,125,131,54,131,71,131,54,131,54,131,71,131,54,131,54,131,54,131,54,131,71,131,54,131.0,71.0,131.0,54.0,131.0,61.8425,131.0,54.0154,1.048,1.048
abc04733-44e2-4a68-ad5f-dc6efd8f979e,1,False,"[(82, 105), (86, 97)]",265,277,71,78,265,85,181,187,82,183,86,183,86,183,86,183,86,183,86,183,86,183,86,183,86,187,82,183,86,183.0,86.0,183.33339999999998,85.66669999999999,184.31870000000004,84.6813,183.0,86.0,1.0331491712707181,1.011049723756906
abc04733-44e2-4a68-ad5f-dc6efd8f979e,1,False,"[(105, 82), (97, 86)]",277,265,78,71,277,96,181,187,105,183,97,183,97,183,97,183,97,183,97,183,97,183,97,183,97,187,105,183,97,183.0,97.0,183.33339999999998,97.66669999999999,184.31870000000004,99.63740000000001,183.0,97.0,1.0331491712707181,1.011049723756906
1ecda2fb-7994-4423-8646-8f2cb4a33cd8,11,False,"[(102, 147), (111, 122), (132, 121), (150, 117)]",309,243,87,80,309,111,233,249,102,233,111,233,111,233,111,233,111,267,150,267,150,233,111,233,111,249,102,233,111,233.0,111.0,267.0,150.0,233.2511,110.8588,233.00009999999997,111.0001,1.145922746781116,1.0
1ecda2fb-7994-4423-8646-8f2cb4a33cd8,11,False,"[(147, 102), (122, 111), (121, 132), (117, 150)]",243,309,80,87,243,122,233,249,147,233,122,233,122,233,122,233,122,267,117,267,117,233,122,233,122,249,147,233,122,233.0,122.0,267.0,117.0,233.2511,122.3923,233.00009999999997,122.0,1.145922746781116,1.0
6c89898d-2a90-414b-a7bf-f7c213982889,23,False,"[(75, 98), (101, 90)]",265,255,57,56,265,78,167,173,75,173,75,173,75,173,75,191,101,191,101,191,101,173,75,173,75,191,101,173,75,173.0,75.0,190.4706,100.2353,177.7092,81.8021,173.0,75.0,1.1437125748502994,1.035928143712575
6c89898d-2a90-414b-a7bf-f7c213982889,23,False,"[(98, 75), (90, 101)]",255,265,56,57,255,89,167,173,98,173,98,173,98,173,98,191,90,191,90,191,90,173,98,173,98,191,90,173,98,173.0,98.0,190.4706,90.2353,177.7092,95.90710000000001,173.0,98.0,1.1437125748502994,1.035928143712575
4dfed37b-451a-4ff4-896a-8e0292408b60,22,False,"[(85, 96), (102, 79)]",255,221,73,59,255,93,175,181,102,181,85,181,85,181,85,181,85,181,102,181,102,181,102,181,102,181,85,181,85,181.0,102.0,181.0,102.0,181.0,94.2628,181.0,101.9846,1.0342857142857143,1.0342857142857143
4dfed37b-451a-4ff4-896a-8e0292408b60,22,False,"[(96, 85), (79, 102)]",221,255,59,73,221,82,175,181,79,181,96,181,96,181,96,181,96,181,79,181,79,181,79,181,79,181,96,181,96,181.0,79.0,181.0,79.0,181.0,86.7372,181.0,79.0154,1.0342857142857143,1.0342857142857143
f3d12b61-fea6-42b4-9bb1-61e796056b19,23,True,"[(248, 225), (223, 246)]",375,365,167,100,375,226,463,469,223,469,223,469,223,469,223,473,248,473,248,473,248,469,223,469,223,473,248,469,223,469.0,223.0,471.8696,240.9348,470.908,234.9247,469.8267,228.1669,1.0215982721382288,1.0129589632829374
f3d12b61-fea6-42b4-9bb1-61e796056b19,23,True,"[(225, 248), (246, 223)]",365,375,100,167,365,237,463,469,246,469,246,469,246,469,246,473,225,473,225,473,225,469,246,469,246,473,225,469,246,469.0,246.0,471.8696,230.9348,470.908,235.9833,469.8267,241.65980000000002,1.0215982721382288,1.0129589632829374
ba47dd46-1823-489e-aa25-7dd0b2bdc73f,12,False,"[(84, 107), (89, 100), (94, 83)]",265,277,70,83,265,94,177,177,94,177,94,177,94,177,94,189,89,189,89,177,94,177,94,177,94,191,84,177,94,177.0,94.0,186.4706,87.2353,181.32209999999998,90.9128,177.0,94.0,1.07909604519774,1.0
ba47dd46-1823-489e-aa25-7dd0b2bdc73f,12,False,"[(107, 84), (100, 89), (83, 94)]",277,265,83,70,277,83,177,177,83,177,83,177,83,177,83,189,100,189,100,177,83,177,83,177,83,191,107,177,83,177.0,83.0,186.4706,99.2353,181.32209999999998,90.4093,177.0,83.0,1.07909604519774,1.0
5545cfbf-f7b5-41fe-98c1-de04d533770f,1,False,"[(145, 156)]",265,309,100,129,265,145,301,301,145,301,145,301,145,301,145,301,145,301,145,301,145,301,145,301,145,301,145,301,145,301.0,145.0,301.0,145.0,301.0,145.0,301.0,145.0,1.0,1.0
5545cfbf-f7b5-41fe-98c1-de04d533770f,1,False,"[(156, 145)]",309,265,129,100,309,156,301,301,156,301,156,301,156,301,156,301,156,301,156,301,156,301,156,301,156,301,156,301,156,301.0,156.0,301.0,156.0,301.0,156.0,301.0,156.0,1.0,1.0
af25a95b-8907-4bde-8bf1-dea9a260f8be,23,True,"[(98, 87), (88, 99)]",265,243,69,69,265,80,171,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,187,88,185,98,185.0,98.0,185.0,98.0,185.8469,93.7655,185.0,98.0,1.0935672514619883,1.0818713450292399
af25a95b-8907-4bde-8bf1-dea9a260f8be,23,True,"[(87, 98), (99, 88)]",243,265,69,69,243,91,171,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,187,99,185,87,185.0,87.0,185.0,87.0,185.8469,92.0814,185.0,87.0,1.0935672514619883,1.0818713450292399
680cd6fa-f976-461b-9bfc-f62b43b56ebe,22,False,"[(100, 89), (83, 106), (87, 98)]",255,255,75,74,255,86,183,189,83,185,87,185,87,185,87,189,100,185,87,185,87,185,87,185,87,189,83,185,87,185.0,87.0,187.0,93.5,185.95409999999998,90.1009,185.0,87.0,1.0327868852459017,1.010928961748634
680cd6fa-f976-461b-9bfc-f62b43b56ebe,22,False,"[(89, 100), (106, 83), (98, 87)]",255,255,74,75,255,97,183,189,106,185,98,185,98,185,98,189,89,185,98,185,98,185,98,185,98,189,106,185,98,185.0,98.0,187.0,93.5,185.95409999999998,95.85319999999999,185.0,98.0,1.0327868852459017,1.010928961748634
5be75556-9eec-4ff6-a659-cfbdd200a2d6,12,False,"[(127, 138), (130, 107)]",265,287,88,87,265,121,231,237,130,237,130,237,130,237,130,265,127,265,127,265,127,237,130,237,130,265,127,237,130,237.0,130.0,265.0,127.0,240.13830000000002,129.6638,237.0,130.0,1.147186147186147,1.025974025974026
5be75556-9eec-4ff6-a659-cfbdd200a2d6,12,False,"[(138, 127), (107, 130)]",287,265,87,88,287,110,231,237,107,237,107,237,107,237,107,265,138,265,138,265,138,237,107,237,107,265,138,237,107,237.0,107.0,265.0,138.0,240.13830000000002,110.4745,237.0,107.0,1.147186147186147,1.025974025974026
