eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
d83b694b-03c4-4e88-9a21-24127d5d54a4,88,True,"[(100, 100)]",100,100,32,27,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
d83b694b-03c4-4e88-9a21-24127d5d54a4,88,True,"[(100, 100)]",100,100,27,32,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
e17bb3fd-cd9d-4973-9c30-05ad75c67268,67,True,"[(68, 156), (86, 152), (90, 134)]",100,178,19,43,100,90,224,224,68,224,90,224,68,224,68,224,90,224,68,238,86,224,68,224,68,238,86,224,68,224.0,73.0,224.0,73.0,224.0,77.2632,224.0,68.0,1.0625,1.0
e17bb3fd-cd9d-4973-9c30-05ad75c67268,67,True,"[(156, 68), (152, 86), (134, 90)]",178,100,43,19,178,134,224,224,156,224,134,224,156,224,156,224,134,224,156,238,152,224,156,224,156,238,152,224,156,224.0,151.0,224.0,151.0,224.0,146.7368,224.0,156.0,1.0625,1.0
2e69ee93-8138-42cf-b53b-1e8870e709ab,0,True,"[(100, 740)]",100,740,41,224,100,100,840,840,100,840,100,840,100,840,100,840,100,840,100,840,100,840,100,840,100,840,100,840,100,840.0,100.0,840.0,100.0,840.0,100.0,840.0,100.0,1.0,1.0
2e69ee93-8138-42cf-b53b-1e8870e709ab,0,True,"[(740, 100)]",740,100,224,41,740,740,840,840,740,840,740,840,740,840,740,840,740,840,740,840,740,840,740,840,740,840,740,840,740,840.0,740.0,840.0,740.0,840.0,740.0,840.0,740.0,1.0,1.0
ccc6056e-3b63-4816-adb7-f72f22c9f61d,11,True,"[(1354, 254)]",1354,254,463,96,1354,1354,1608,1608,1354,1608,1354,1608,1354,1608,1354,1608,1354,1608,1354,1608,1354,1608,1354,1608,1354,1608,1354,1608,1354,1608.0,1354.0,1608.0,1354.0,1608.0,1354.0,1608.0,1354.0,1.0,1.0
ccc6056e-3b63-4816-adb7-f72f22c9f61d,11,True,"[(254, 1354)]",254,1354,96,463,254,254,1608,1608,254,1608,254,1608,254,1608,254,1608,254,1608,254,1608,254,1608,254,1608,254,1608,254,1608,254,1608.0,254.0,1608.0,254.0,1608.0,254.0,1608.0,254.0,1.0,1.0
b61cd366-ddae-4de5-a986-a102d1e660ef,100,True,"[(100, 100)]",100,100,32,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
b61cd366-ddae-4de5-a986-a102d1e660ef,100,True,"[(100, 100)]",100,100,28,32,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
1f870f92-ae60-4697-aaa6-9a4f57006a88,111,True,"[(144, 816)]",144,816,49,270,144,144,960,960,144,960,144,960,144,960,144,960,144,960,144,960,144,960,144,960,144,960,144,960,144,960.0,144.0,960.0,144.0,960.0,144.0,960.0,144.0,1.0,1.0
1f870f92-ae60-4697-aaa6-9a4f57006a88,111,True,"[(816, 144)]",816,144,270,49,816,816,960,960,816,960,816,960,816,960,816,960,816,960,816,960,816,960,816,960,816,960,816,960,816,960.0,816.0,960.0,816.0,960.0,816.0,960.0,816.0,1.0,1.0
607ac750-b9ac-4297-b710-5895580db258,0,True,"[(100, 200)]",100,200,37,65,100,103,294,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300,100,300.0,100.0,300.0,100.0,300.0,100.0,300.0,100.0,1.0204081632653061,1.0204081632653061
607ac750-b9ac-4297-b710-5895580db258,0,True,"[(200, 100)]",200,100,65,37,200,191,294,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300,200,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,1.0204081632653061,1.0204081632653061
04f08758-ba2c-46da-b8c6-8e57bc985357,22,True,"[(100, 100)]",100,100,19,32,100,104,186,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.075268817204301,1.075268817204301
04f08758-ba2c-46da-b8c6-8e57bc985357,22,True,"[(100, 100)]",100,100,32,19,100,82,186,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.075268817204301,1.075268817204301
2ed4a2de-c65a-4726-b146-541936858d80,66,True,"[(90, 112)]",100,144,28,31,100,90,202,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202.0,90.0,202.0,90.0,202.0,90.0,202.0,90.0,1.0,1.0
2ed4a2de-c65a-4726-b146-541936858d80,66,True,"[(112, 90)]",144,100,31,28,144,112,202,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202.0,112.0,202.0,112.0,202.0,112.0,202.0,112.0,1.0,1.0
220ddfbc-c286-46e1-9618-5373b9069e29,23,True,"[(144, 672)]",144,672,47,177,144,144,816,816,144,816,144,816,144,816,144,816,144,816,144,816,144,816,144,816,144,816,144,816,144,816.0,144.0,816.0,144.0,816.0,144.0,816.0,144.0,1.0,1.0
220ddfbc-c286-46e1-9618-5373b9069e29,23,True,"[(672, 144)]",672,144,177,47,672,672,816,816,672,816,672,816,672,816,672,816,672,816,672,816,672,816,672,816,672,816,672,816,672,816.0,672.0,816.0,672.0,816.0,672.0,816.0,672.0,1.0,1.0
8e6dbda1-b0e2-4114-a285-ad9cae21410e,78,True,"[(100, 122)]",100,122,38,36,100,88,220,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.009090909090909,1.009090909090909
8e6dbda1-b0e2-4114-a285-ad9cae21410e,78,True,"[(122, 100)]",122,100,36,38,122,132,220,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.009090909090909,1.009090909090909
c512ee00-4395-42fa-8c6f-60fe7be30e00,66,True,"[(1398, 188)]",1398,188,432,62,1398,1398,1586,1586,1398,1586,1398,1586,1398,1586,1398,1586,1398,1586,1398,1586,1398,1586,1398,1586,1398,1586,1398,1586,1398,1586.0,1398.0,1586.0,1398.0,1586.0,1398.0,1586.0,1398.0,1.0,1.0
c512ee00-4395-42fa-8c6f-60fe7be30e00,66,True,"[(188, 1398)]",188,1398,62,432,188,188,1586,1586,188,1586,188,1586,188,1586,188,1586,188,1586,188,1586,188,1586,188,1586,188,1586,188,1586,188,1586.0,188.0,1586.0,188.0,1586.0,188.0,1586.0,188.0,1.0,1.0
a1b3a523-de27-4a7e-80d5-7a20e60e1ed5,0,True,"[(89, 155), (67, 167)]",100,244,39,55,100,70,228,234,67,244,89,234,67,234,67,244,89,234,67,234,67,234,67,234,67,244,89,234,67,234.0,67.0,234.0,67.0,235.68220000000002,70.7009,234.0,67.0,1.0701754385964912,1.0263157894736843
a1b3a523-de27-4a7e-80d5-7a20e60e1ed5,0,True,"[(155, 89), (167, 67)]",244,100,55,39,244,158,228,234,167,244,155,234,167,234,167,244,155,234,167,234,167,234,167,234,167,244,155,234,167,234.0,167.0,234.0,167.0,235.68220000000002,164.9813,234.0,167.0,1.0701754385964912,1.0263157894736843
2ade219f-dfbf-4b89-bb5d-d1a0f7515c3b,66,True,"[(650, 298)]",650,298,220,86,650,396,726,948,650,948,650,948,650,948,650,948,650,948,650,948,650,948,650,948,650,948,650,948,650,948.0,650.0,948.0,650.0,948.0,650.0,948.0,650.0,1.3057851239669422,1.3057851239669422
2ade219f-dfbf-4b89-bb5d-d1a0f7515c3b,66,True,"[(298, 650)]",298,650,86,220,298,330,726,948,298,948,298,948,298,948,298,948,298,948,298,948,298,948,298,948,298,948,298,948,298,948.0,298.0,948.0,298.0,948.0,298.0,948.0,298.0,1.3057851239669422,1.3057851239669422
40c399e9-8e16-49e7-9d72-9b4f2aa83c99,88,False,"[(662, 354), (671, 341)]",1134,892,389,287,1134,671,1012,1012,671,1016,662,1012,671,1012,671,1016,662,1016,662,1016,662,1012,671,1012,671,1016,662,1012,671,1012.0,671.0,1016.0,662.0,1013.7879,666.9774,1012.0,671.0,1.0039525691699605,1.0
40c399e9-8e16-49e7-9d72-9b4f2aa83c99,88,False,"[(354, 662), (341, 671)]",892,1134,287,389,892,341,1012,1012,341,1016,354,1012,341,1012,341,1016,354,1016,354,1016,354,1012,341,1012,341,1016,354,1012,341,1012.0,341.0,1016.0,354.0,1013.7879,346.81050000000005,1012.0,341.0,1.0039525691699605,1.0
5a424e0a-7a22-4250-a50b-56390dd8f73d,34,True,"[(72, 172), (79, 167), (85, 151), (98, 142)]",100,188,28,39,100,102,226,244,72,240,98,236,85,236,85,240,98,246,79,236,85,244,72,236,85,240,98,236,85,238.4322,81.0476,241.1764,76.5882,238.3339,81.2074,236.0,85.0,1.0884955752212389,1.0442477876106195
5a424e0a-7a22-4250-a50b-56390dd8f73d,34,True,"[(172, 72), (167, 79), (151, 85), (142, 98)]",188,100,39,28,188,124,226,244,172,240,142,236,151,236,151,240,142,246,167,236,151,244,172,236,151,240,142,236,151,238.4322,157.3846,241.1764,164.5882,238.3339,157.1265,236.0,151.0,1.0884955752212389,1.0442477876106195
14383ed2-197c-4905-815c-4dc020c4fa42,100,True,"[(100, 100)]",100,100,19,23,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
14383ed2-197c-4905-815c-4dc020c4fa42,100,True,"[(100, 100)]",100,100,23,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
6ec363e6-d424-4328-a7ce-4ec31f1c613c,210,True,"[(716, 288)]",716,288,274,103,716,716,1004,1004,716,1004,716,1004,716,1004,716,1004,716,1004,716,1004,716,1004,716,1004,716,1004,716,1004,716,1004.0,716.0,1004.0,716.0,1004.0,716.0,1004.0,716.0,1.0,1.0
6ec363e6-d424-4328-a7ce-4ec31f1c613c,210,True,"[(288, 716)]",288,716,103,274,288,288,1004,1004,288,1004,288,1004,288,1004,288,1004,288,1004,288,1004,288,1004,288,1004,288,1004,288,1004,288,1004.0,288.0,1004.0,288.0,1004.0,288.0,1004.0,288.0,1.0,1.0
bb41b252-8b7d-4176-8a23-5714bb65f95b,66,True,"[(100, 134)]",100,134,19,26,100,125,206,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234,100,234.0,100.0,234.0,100.0,234.0,100.0,234.0,100.0,1.1359223300970873,1.1359223300970873
bb41b252-8b7d-4176-8a23-5714bb65f95b,66,True,"[(134, 100)]",134,100,26,19,134,81,206,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234,134,234.0,134.0,234.0,134.0,234.0,134.0,234.0,134.0,1.1359223300970873,1.1359223300970873
7d84ae1b-fabf-49e3-8f0d-73041ddaadcc,100,True,"[(100, 210)]",100,210,19,48,100,114,250,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310.0,100.0,310.0,100.0,310.0,100.0,310.0,100.0,1.24,1.24
7d84ae1b-fabf-49e3-8f0d-73041ddaadcc,100,True,"[(210, 100)]",210,100,48,19,210,136,250,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310.0,210.0,310.0,210.0,310.0,210.0,310.0,210.0,1.24,1.24
81687d66-0c2a-4865-9c54-35cefe115d3f,45,True,"[(100, 210)]",100,210,32,61,100,120,240,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310.0,100.0,310.0,100.0,310.0,100.0,310.0,100.0,1.2916666666666667,1.2916666666666667
81687d66-0c2a-4865-9c54-35cefe115d3f,45,True,"[(210, 100)]",210,100,61,32,210,120,240,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310.0,210.0,310.0,210.0,310.0,210.0,310.0,210.0,1.2916666666666667,1.2916666666666667
2d30e6fe-827a-49cd-9370-0f4b1c9fd66e,45,True,"[(100, 244)]",100,244,41,91,100,154,308,344,100,344,100,344,100,344,100,344,100,344,100,344,100,344,100,344,100,344,100,344,100,344.0,100.0,344.0,100.0,344.0,100.0,344.0,100.0,1.1168831168831168,1.1168831168831168
2d30e6fe-827a-49cd-9370-0f4b1c9fd66e,45,True,"[(244, 100)]",244,100,91,41,244,154,308,344,244,344,244,344,244,344,244,344,244,344,244,344,244,344,244,344,244,344,244,344,244,344.0,244.0,344.0,244.0,344.0,244.0,344.0,244.0,1.1168831168831168,1.1168831168831168
b6c5ad8b-0b40-4eeb-84b7-bf9c1f2d7eb3,0,True,"[(100, 210)]",100,210,28,84,100,76,306,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310.0,100.0,310.0,100.0,310.0,100.0,310.0,100.0,1.0130718954248366,1.0130718954248366
b6c5ad8b-0b40-4eeb-84b7-bf9c1f2d7eb3,0,True,"[(210, 100)]",210,100,84,28,210,230,306,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310.0,210.0,310.0,210.0,310.0,210.0,310.0,210.0,1.0130718954248366,1.0130718954248366
76a4ec0f-630c-486b-9405-f8dc13cbf962,56,True,"[(144, 298)]",144,298,40,73,144,156,400,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442.0,144.0,442.0,144.0,442.0,144.0,442.0,144.0,1.105,1.105
76a4ec0f-630c-486b-9405-f8dc13cbf962,56,True,"[(298, 144)]",298,144,73,40,298,244,400,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442.0,298.0,442.0,298.0,442.0,298.0,442.0,298.0,1.105,1.105
e6c2606f-4f06-4b5c-a733-359436959bfb,0,False,"[(67, 167), (84, 150)]",100,222,31,54,100,70,228,234,67,234,84,234,67,234,67,234,84,234,67,234,67,234,67,234,67,234,84,234,67,234.0,67.0036,234.0,67.0,234.0,72.3429,234.0,84.0,1.0263157894736843,1.0263157894736843
e6c2606f-4f06-4b5c-a733-359436959bfb,0,False,"[(167, 67), (150, 84)]",222,100,54,31,222,158,228,234,167,234,150,234,167,234,167,234,150,234,167,234,167,234,167,234,167,234,150,234,167,234.0,166.9964,234.0,167.0,234.0,161.6571,234.0,150.0,1.0263157894736843,1.0263157894736843
e30a95e3-761e-4bd8-943a-acc9c9237b68,88,True,"[(100, 56)]",100,56,28,20,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
e30a95e3-761e-4bd8-943a-acc9c9237b68,88,True,"[(56, 100)]",56,100,20,28,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
e0719cdf-eb64-4d25-8c3e-44539ea5aaa2,0,False,"[(72, 172), (80, 168), (97, 163)]",100,244,28,64,100,75,238,244,72,260,97,244,72,244,72,260,97,244,72,244,72,244,72,244,72,260,97,244,72,244.0,72.0,244.0,72.0,245.3263,74.6526,244.0,72.0,1.0924369747899159,1.0252100840336134
e0719cdf-eb64-4d25-8c3e-44539ea5aaa2,0,False,"[(172, 72), (168, 80), (163, 97)]",244,100,64,28,244,163,238,244,172,260,163,244,172,244,172,260,163,244,172,244,172,244,172,244,172,260,163,244,172,244.0,172.0,244.0,172.0,245.3263,170.6737,244.0,172.0,1.0924369747899159,1.0252100840336134
a054950b-3423-43d6-87e1-9000c70c1531,0,True,"[(97, 505)]",100,630,23,179,100,100,596,602,97,602,97,602,97,602,97,602,97,602,97,602,97,602,97,602,97,602,97,602,97,602.0,97.0,602.0,97.0,602.0,97.0,602.0,97.0,1.0100671140939597,1.0100671140939597
a054950b-3423-43d6-87e1-9000c70c1531,0,True,"[(505, 97)]",630,100,179,23,630,496,596,602,505,602,505,602,505,602,505,602,505,602,505,602,505,602,505,602,505,602,505,602,505,602.0,505.0,602.0,505.0,602.0,505.0,602.0,505.0,1.0100671140939597,1.0100671140939597
05d4a550-3f07-44dc-8abe-1741a890648b,320,True,"[(1002, 364)]",1002,364,271,133,1002,1002,1366,1366,1002,1366,1002,1366,1002,1366,1002,1366,1002,1366,1002,1366,1002,1366,1002,1366,1002,1366,1002,1366,1002,1366.0,1002.0,1366.0,1002.0,1366.0,1002.0,1366.0,1002.0,1.0,1.0
05d4a550-3f07-44dc-8abe-1741a890648b,320,True,"[(364, 1002)]",364,1002,133,271,364,364,1366,1366,364,1366,364,1366,364,1366,364,1366,364,1366,364,1366,364,1366,364,1366,364,1366,364,1366,364,1366.0,364.0,1366.0,364.0,1366.0,364.0,1366.0,364.0,1.0,1.0
0d4ca33d-015f-4bd8-9c40-96ed43fbaf41,100,True,"[(100, 100)]",100,100,64,23,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
0d4ca33d-015f-4bd8-9c40-96ed43fbaf41,100,True,"[(100, 100)]",100,100,23,64,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
b58bdb61-45cf-4183-9dd0-016e7eac610e,122,True,"[(122, 222)]",122,222,50,51,122,122,344,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344,122,344.0,122.0,344.0,122.0,344.0,122.0,344.0,122.0,1.0,1.0
b58bdb61-45cf-4183-9dd0-016e7eac610e,122,True,"[(222, 122)]",222,122,51,50,222,222,344,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344,222,344.0,222.0,344.0,222.0,344.0,222.0,344.0,222.0,1.0,1.0
0cccc5f5-ff09-4be5-9187-db720bbffeab,33,True,"[(91, 213), (99, 187)]",100,222,31,46,100,116,276,304,91,286,99,286,99,286,99,286,99,304,91,304,91,286,99,304,91,286,99,286,99,296.9904,94.1154,304.0,91.0,295.8054,94.642,286.0,99.0,1.1014492753623188,1.036231884057971
0cccc5f5-ff09-4be5-9187-db720bbffeab,33,True,"[(213, 91), (187, 99)]",222,100,46,31,222,160,276,304,213,286,187,286,187,286,187,286,187,304,213,304,213,286,187,304,213,286,187,286,187,296.9904,202.875,304.0,213.0,295.8054,201.1634,286.0,187.0,1.1014492753623188,1.036231884057971
27dbd41d-37a2-4f84-9428-c02c6f07f10f,66,True,"[(100, 78)]",100,78,32,42,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178.0,100.0,178.0,100.0,178.0,100.0,178.0,100.0,1.0,1.0
27dbd41d-37a2-4f84-9428-c02c6f07f10f,66,True,"[(78, 100)]",78,100,42,32,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178.0,78.0,178.0,78.0,178.0,78.0,178.0,78.0,1.0,1.0
27b2899f-5633-4024-bfa6-6bf08a9255ea,132,True,"[(210, 222)]",210,222,70,63,210,210,432,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432,210,432.0,210.0,432.0,210.0,432.0,210.0,432.0,210.0,1.0,1.0
27b2899f-5633-4024-bfa6-6bf08a9255ea,132,True,"[(222, 210)]",222,210,63,70,222,222,432,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432,222,432.0,222.0,432.0,222.0,432.0,222.0,432.0,222.0,1.0,1.0
b2c3d42f-dc2d-44fc-ab4a-de9601268edd,88,True,"[(111, 111)]",122,122,50,27,122,85,214,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222.0,111.0,222.0,111.0,222.0,111.0,222.0,111.0,1.0373831775700935,1.0373831775700935
b2c3d42f-dc2d-44fc-ab4a-de9601268edd,88,True,"[(111, 111)]",122,122,27,50,122,129,214,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222,111,222.0,111.0,222.0,111.0,222.0,111.0,222.0,111.0,1.0373831775700935,1.0373831775700935
b0ffebd2-7ae4-49f7-8a21-a913b14b8def,67,True,"[(92, 136)]",100,232,23,55,100,92,228,228,92,228,92,228,92,228,92,228,92,228,92,228,92,228,92,228,92,228,92,228,92,228.0,92.0,228.0,92.0,228.0,92.0,228.0,92.0,1.0,1.0
b0ffebd2-7ae4-49f7-8a21-a913b14b8def,67,True,"[(136, 92)]",232,100,55,23,232,136,228,228,136,228,136,228,136,228,136,228,136,228,136,228,136,228,136,228,136,228,136,228,136,228.0,136.0,228.0,136.0,228.0,136.0,228.0,136.0,1.0,1.0
943f8222-4217-4a68-aedf-ec16a5683bd0,23,True,"[(166, 408)]",166,408,67,137,166,183,564,574,166,574,166,574,166,574,166,574,166,574,166,574,166,574,166,574,166,574,166,574,166,574.0,166.0,574.0,166.0,574.0,166.0,574.0,166.0,1.0177304964539007,1.0177304964539007
943f8222-4217-4a68-aedf-ec16a5683bd0,23,True,"[(408, 166)]",408,166,137,67,408,381,564,574,408,574,408,574,408,574,408,574,408,574,408,574,408,574,408,574,408,574,408,574,408,574.0,408.0,574.0,408.0,574.0,408.0,574.0,408.0,1.0177304964539007,1.0177304964539007
9c5a7478-7aa3-4257-a2f1-4438a0f07f30,88,True,"[(100, 112)]",100,112,28,22,100,108,194,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212.0,100.0,212.0,100.0,212.0,100.0,212.0,100.0,1.092783505154639,1.092783505154639
9c5a7478-7aa3-4257-a2f1-4438a0f07f30,88,True,"[(112, 100)]",112,100,22,28,112,86,194,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212.0,112.0,212.0,112.0,212.0,112.0,212.0,112.0,1.092783505154639,1.092783505154639
7bcb5164-29d7-4419-8de2-47c87188e068,89,True,"[(100, 122)]",100,122,23,26,100,147,206,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0776699029126213,1.0776699029126213
7bcb5164-29d7-4419-8de2-47c87188e068,89,True,"[(122, 100)]",122,100,26,23,122,59,206,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0776699029126213,1.0776699029126213
