eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
aef0b906-75da-47d5-a90f-29d87eca688a,11,False,"[(56, 56), (48, 60)]",156,156,48,44,156,50,100,108,48,112,56,108,48,108,48,112,56,112,56,112,56,108,48,108,48,112,56,108,48,108.0,48.0,109.4026,50.8052,108.0,48.0,112.0,56.0,1.12,1.08
aef0b906-75da-47d5-a90f-29d87eca688a,11,False,"[(56, 56), (60, 48)]",156,156,44,48,156,50,100,108,60,112,56,108,60,108,60,112,56,112,56,112,56,108,60,108,60,112,56,108,60,108.0,60.0,109.4026,58.59739999999999,108.0,60.0,112.0,56.0,1.12,1.08
93222b88-e619-4e37-9624-2d731c9f4a81,12,False,"[(48, 60), (58, 58)]",156,134,39,35,156,51,102,108,48,116,58,108,48,108,48,116,58,116,58,116,58,108,48,108,48,116,58,108,48,108.0,48.0,109.7705,50.2131,108.0,48.0,116.0,58.0,1.1372549019607843,1.0588235294117647
93222b88-e619-4e37-9624-2d731c9f4a81,12,False,"[(60, 48), (58, 58)]",134,156,35,39,134,51,102,108,60,116,58,108,60,108,60,116,58,116,58,116,58,108,60,108,60,116,58,108,60,108.0,60.0,109.7705,59.5574,108.0,60.0,116.0,58.0,1.1372549019607843,1.0588235294117647
5c7b03f4-8f18-46d0-870b-b90471e38aee,0,False,"[(35, 23)]",80,56,21,11,80,26,52,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58.0,35.0,58.0,35.0,58.0,35.0,58.0,35.0,1.1153846153846154,1.1153846153846154
5c7b03f4-8f18-46d0-870b-b90471e38aee,0,False,"[(23, 35)]",56,80,11,21,56,26,52,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58.0,23.0,58.0,23.0,58.0,23.0,58.0,23.0,1.1153846153846154,1.1153846153846154
c4d9059a-e31f-4bdb-b6f1-81fc27188b18,0,False,"[(35, 35)]",100,124,32,35,100,35,70,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.0,1.0
c4d9059a-e31f-4bdb-b6f1-81fc27188b18,0,False,"[(35, 35)]",124,100,35,32,124,35,70,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.0,1.0
a62626c4-e24b-4a44-b2a2-d536025bdcb6,12,False,"[(41, 53)]",122,122,41,44,122,44,88,94,41,94,41,94,41,94,41,94,41,94,41,94,41,94,41,94,41,94,41,94,41,94.0,41.0,94.0,41.0,94.0,41.0,94.0,41.0,1.0681818181818181,1.0681818181818181
a62626c4-e24b-4a44-b2a2-d536025bdcb6,12,False,"[(53, 41)]",122,122,44,41,122,44,88,94,53,94,53,94,53,94,53,94,53,94,53,94,53,94,53,94,53,94,53,94,53,94.0,53.0,94.0,53.0,94.0,53.0,94.0,53.0,1.0681818181818181,1.0681818181818181
155b9411-2f86-4810-9006-5c15dc6e0e62,11,False,"[(52, 40), (45, 45)]",90,78,44,28,90,45,90,92,52,90,45,90,45,90,45,90,45,92,52,90,45,90,45,90,45,92,52,90,45,90.0,45.0,90.9165,48.2077,90.004,45.0138,92.0,52.0,1.0222222222222221,1.0
155b9411-2f86-4810-9006-5c15dc6e0e62,11,False,"[(40, 52), (45, 45)]",78,90,28,44,78,45,90,92,40,90,45,90,45,90,45,90,45,92,40,90,45,90,45,90,45,92,40,90,45,90.0,45.0,90.9165,42.7088,90.004,44.9902,92.0,40.0,1.0222222222222221,1.0
ebb73892-809b-481a-8ad8-4f2f35d1000b,12,False,"[(47, 35)]",144,122,47,32,144,47,82,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82.0,47.0,82.0,47.0,82.0,47.0,82.0,47.0,1.0,1.0
ebb73892-809b-481a-8ad8-4f2f35d1000b,12,False,"[(35, 47)]",122,144,32,47,122,35,82,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82.0,35.0,82.0,35.0,82.0,35.0,82.0,35.0,1.0,1.0
d3cb3e29-1869-42fa-91c0-4873428f252a,11,False,"[(31, 43), (47, 35)]",90,90,31,31,90,34,68,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,82,47,74,31,74.0,31.0,76.7929,36.5858,74.0,31.0,78.0,39.0,1.2058823529411764,1.088235294117647
d3cb3e29-1869-42fa-91c0-4873428f252a,11,False,"[(43, 31), (35, 47)]",90,90,31,31,90,34,68,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,82,35,74,43,74.0,43.0,76.7929,40.2071,74.0,43.0,78.0,39.0,1.2058823529411764,1.088235294117647
40453ada-1a34-42d3-b64c-b7d06b434d74,0,False,"[(35, 23)]",80,56,34,11,80,35,58,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58,35,58.0,35.0,58.0,35.0,58.0,35.0,58.0,35.0,1.0,1.0
40453ada-1a34-42d3-b64c-b7d06b434d74,0,False,"[(23, 35)]",56,80,11,34,56,23,58,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58,23,58.0,23.0,58.0,23.0,58.0,23.0,58.0,23.0,1.0,1.0
d7e30ba6-997d-4619-8bf4-9b19a9ddaaf9,0,False,"[(50, 50), (41, 53)]",122,122,32,44,59,44,88,94,41,100,50,94,41,94,41,100,50,100,50,100,50,94,41,94,41,100,50,94,41,94.0,41.0,95.6363,43.454499999999996,94.0156,41.023399999999995,100.0,50.0,1.1363636363636365,1.0681818181818181
d7e30ba6-997d-4619-8bf4-9b19a9ddaaf9,0,False,"[(50, 50), (53, 41)]",122,122,44,32,59,44,88,94,53,100,50,94,53,94,53,100,50,100,50,100,50,94,53,94,53,100,50,94,53,94.0,53.0,95.6363,52.181799999999996,94.0156,52.9922,100.0,50.0,1.1363636363636365,1.0681818181818181
b69fb309-518a-4366-b134-f719772bce5c,0,False,"[(41, 63), (84, 62)]",100,122,41,45,64,41,104,104,41,104,41,104,41,104,41,104,41,104,41,104,41,104,41,104,41,146,84,104,41,104.0,41.0,104.9389,41.9613,104.0,41.0,104.0,41.0,1.4038461538461537,1.0
b69fb309-518a-4366-b134-f719772bce5c,0,False,"[(63, 41), (62, 84)]",122,100,45,41,86,63,104,104,63,104,63,104,63,104,63,104,63,104,63,104,63,104,63,104,63,146,62,104,63,104.0,63.0,104.9389,62.9776,104.0,63.0,104.0,63.0,1.4038461538461537,1.0
3c478f62-99cf-4ca8-8b16-7f256d3db016,11,False,"[(70, 82), (74, 74)]",156,156,62,61,156,73,146,152,70,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,152,70,148,74,148.0,74.0,149.2914,72.7087,148.0,74.0,148.0,74.0,1.0410958904109588,1.0136986301369864
3c478f62-99cf-4ca8-8b16-7f256d3db016,11,False,"[(82, 70), (74, 74)]",156,156,61,62,156,73,146,152,82,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,152,82,148,74,148.0,74.0,149.2914,76.5827,148.0,74.0,148.0,74.0,1.0410958904109588,1.0136986301369864
